City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Fortuna,US,40.5982,-124.1573,55.98,73,1,0.0,clear sky
79,Iwanai,JP,42.9744,140.5089,71.83,57,5,4.79,clear sky
80,Evensk,RU,61.95,159.2333,51.4,38,42,6.22,scattered clouds
81,Qaanaaq,GL,77.484,-69.3632,18.09,89,99,4.05,overcast clouds
82,Thompson,CA,55.7435,-97.8558,51.96,87,90,2.3,overcast clouds
83,Tiksi,RU,71.6872,128.8694,55.81,77,100,23.22,overcast clouds
84,Ostrovnoy,RU,68.0531,39.5131,41.18,80,100,24.96,overcast clouds
85,Port Lincoln,AU,-34.7333,135.8667,60.48,64,49,8.7,scattered clouds
86,Vanimo,PG,-2.6741,141.3028,84.52,74,24,7.25,few clouds
87,Provideniya,RU,64.3833,-173.3,37.51,81,90,11.18,moderate rain
88,Hobart,AU,-42.8794,147.3294,57.06,44,75,8.01,broken clouds
89,Isla Mujeres,MX,21.2311,-86.731,80.26,84,93,7.29,overcast clouds
90,Ponta Do Sol,PT,32.6667,-17.1,77.0,92,59,11.18,broken clouds
91,Taloqan,AF,36.7361,69.5345,90.37,10,0,4.63,clear sky
92,Bijar,IR,35.8668,47.6051,73.06,13,0,0.89,clear sky
93,Santa Rosa,PH,14.3122,121.1114,91.11,65,98,4.79,overcast clouds
94,Puerto Escondido,MX,15.85,-97.0667,80.74,85,91,3.22,overcast clouds
95,Mar Del Plata,AR,-38.0023,-57.5575,39.22,100,18,0.0,fog
96,Flin Flon,CA,54.7682,-101.865,52.48,79,79,9.37,broken clouds
97,Chuy,UY,-33.6971,-53.4616,52.52,96,23,4.18,few clouds
98,Carutapera,BR,-1.195,-46.02,77.9,85,51,9.04,broken clouds
99,Beringovskiy,RU,63.05,179.3167,42.84,73,100,13.22,overcast clouds
100,Teya,RU,60.3778,92.6267,63.34,40,61,3.56,broken clouds
101,Gizo,SB,-8.103,156.8419,81.84,76,86,6.02,light rain
102,Katsuura,JP,35.1333,140.3,68.11,80,99,19.8,overcast clouds
103,Khandyga,RU,62.6667,135.6,57.9,43,8,3.18,clear sky
104,Dikson,RU,73.5069,80.5464,46.2,89,58,11.61,broken clouds
105,Sale,MA,34.0389,-6.8166,73.63,100,90,0.0,mist
106,Aswan,EG,24.0934,32.907,85.3,32,0,11.5,clear sky
107,Sidhi,IN,24.4167,81.8833,88.23,64,97,6.26,overcast clouds
108,Arrecife,ES,28.963,-13.5477,75.27,83,20,1.14,few clouds
109,Sarangani,PH,5.4033,125.4636,83.7,74,90,13.29,overcast clouds
110,Portree,GB,57.4129,-6.1942,57.85,92,99,6.42,overcast clouds
111,Bilma,NE,18.6853,12.9164,86.05,16,88,12.75,overcast clouds
112,Takoradi,GH,4.8845,-1.7554,73.83,94,76,6.93,light rain
113,Boyuibe,BO,-20.4167,-63.2833,66.76,68,12,2.33,few clouds
114,Isangel,VU,-19.55,169.2667,78.91,69,40,13.8,scattered clouds
115,Hofn,IS,64.2539,-15.2082,51.06,72,100,4.81,overcast clouds
116,Sao Filipe,CV,14.8961,-24.4956,78.57,85,9,4.63,clear sky
117,Chokurdakh,RU,70.6333,147.9167,44.71,84,100,23.13,light rain
118,San Roque,ES,36.2107,-5.3842,72.41,94,75,17.27,broken clouds
119,Bethel,US,41.3712,-73.414,69.57,93,100,3.98,overcast clouds
120,Cape Town,ZA,-33.9258,18.4232,47.12,100,40,2.3,scattered clouds
121,Necochea,AR,-38.5473,-58.7368,46.04,90,34,8.88,scattered clouds
122,Usinsk,RU,65.9939,57.5281,38.55,97,100,22.73,overcast clouds
123,Tombouctou,ML,20.0,-3.0,89.42,15,9,5.32,clear sky
124,Jamestown,US,42.097,-79.2353,64.71,95,1,1.01,clear sky
125,Poum,NC,-20.2333,164.0167,72.52,74,2,16.93,clear sky
126,Rach Gia,VN,10.0167,105.0833,84.15,72,98,13.04,overcast clouds
127,Kruisfontein,ZA,-34.0033,24.7314,50.88,64,100,13.69,overcast clouds
128,Hasaki,JP,35.7333,140.8333,68.29,78,95,22.75,overcast clouds
129,Campbellsville,US,37.3434,-85.3419,66.15,73,9,4.76,clear sky
130,Malysheva,RU,57.1185,61.4035,51.78,42,12,11.52,few clouds
131,Tilichiki,RU,60.4667,166.1,46.06,61,93,13.44,overcast clouds
132,Aran,AZ,40.6253,46.9756,78.48,69,75,8.05,broken clouds
133,Luneburg,DE,53.25,10.4,50.92,84,24,1.23,few clouds
134,Broken Hill,AU,-31.95,141.4333,62.31,39,2,12.66,clear sky
135,New Norfolk,AU,-42.7826,147.0587,58.5,55,36,5.99,light rain
136,Bengkulu,ID,-3.8004,102.2655,82.36,72,95,9.13,overcast clouds
137,Souillac,MU,-20.5167,57.5167,74.35,56,40,12.66,scattered clouds
