City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kodiak,US,2021-09-05 20-04-59,57.79,-152.4072,54.66,85,100,3.0
68,Lebu,CL,2021-09-05 20-04-59,-37.6167,-73.65,51.89,85,72,5.75
69,Lima,PE,2021-09-05 20-04-33,-12.0432,-77.0282,62.85,72,90,12.66
70,Jamestown,US,2021-09-05 20-04-06,42.097,-79.2353,73.02,65,40,7.0
71,Airai,TL,2021-09-05 20-04-59,-8.9266,125.4092,58.62,67,100,3.47
72,Hilo,US,2021-09-05 20-05-00,19.7297,-155.09,79.79,86,90,8.05
73,Carnarvon,AU,2021-09-05 20-05-00,-24.8667,113.6333,53.67,28,0,10.36
74,Carballo,ES,2021-09-05 20-05-01,43.213,-8.691,78.49,66,88,1.34
75,Altamira,BR,2021-09-05 20-05-01,-3.2033,-52.2064,83.61,65,100,2.73
76,Cape Town,ZA,2021-09-05 20-05-01,-33.9258,18.4232,53.11,90,61,6.62
77,Rojhan,PK,2021-09-05 20-05-02,28.6868,69.9534,94.77,38,5,6.46
78,Khatanga,RU,2021-09-05 20-05-02,71.9667,102.5,49.51,88,81,8.55
79,Ancud,CL,2021-09-05 20-05-03,-41.8697,-73.8203,56.43,70,22,11.88
80,Gamba,GA,2021-09-05 20-05-03,-2.65,10.0,74.32,84,42,8.1
81,Lorengau,PG,2021-09-05 20-05-03,-2.0226,147.2712,81.27,76,71,6.58
82,Tongliao,CN,2021-09-05 20-05-04,43.6125,122.2653,66.06,79,100,7.65
83,Talnakh,RU,2021-09-05 20-05-04,69.4865,88.3972,50.04,81,64,12.46
84,Cohoes,US,2021-09-05 20-05-04,42.7742,-73.7001,71.62,83,90,3.0
85,Upernavik,GL,2021-09-05 20-05-05,72.7868,-56.1549,35.78,99,100,15.59
86,Lethem,GY,2021-09-05 20-05-05,3.3803,-59.7968,87.28,62,99,7.52
87,Constitucion,CL,2021-09-05 20-00-56,-35.3333,-72.4167,56.91,74,9,7.25
88,Palana,RU,2021-09-05 20-05-05,59.1167,159.9667,47.68,91,100,8.57
89,Paamiut,GL,2021-09-05 20-05-06,61.994,-49.6678,44.69,65,0,24.63
90,Mount Isa,AU,2021-09-05 20-05-06,-20.7333,139.5,60.57,33,40,14.97
91,Pevek,RU,2021-09-05 20-05-06,69.7008,170.3133,31.53,82,100,17.85
